,date,qb_value_pre,qb_value_post,qb_game_value,qbelo_prob,qbelo_post,player,week
10,9/8/2019,141.9567721,134.6504108,68.89315866,0.454430714,1508.87056,Jimmy Garoppolo,1
1,9/8/2019,221.8118106,242.9493776,433.1874805,0.584355181,1629.568396,Patrick Mahomes,1
24,9/15/2019,134.6504108,148.895545,277.1017529,0.533560559,1538.583339,Jimmy Garoppolo,2
27,9/15/2019,242.9493776,260.5206144,418.6617454,0.693929723,1646.498235,Patrick Mahomes,2
44,9/22/2019,148.895545,146.1552906,121.4930012,0.786794028,1544.804736,Jimmy Garoppolo,3
37,9/22/2019,260.5206144,276.1638166,416.9526362,0.690694603,1656.921069,Patrick Mahomes,3
56,9/29/2019,276.1638166,276.9508169,284.0338196,0.673727109,1666.85464,Patrick Mahomes,4
,,148.895545,146.1552906,121.4930012,0.786794028,1544.804736,Jimmy Garoppolo,4
77,10/7/2019,146.1552906,146.9928082,154.5304663,0.632157071,1568.561683,Jimmy Garoppolo,5
76,10/6/2019,276.9508169,262.9534708,136.9773564,0.823315273,1630.380277,Patrick Mahomes,5
85,10/13/2019,262.9534708,253.5408316,168.8270788,0.701877928,1599.073256,Patrick Mahomes,6
87,10/13/2019,146.9928082,148.1892859,158.9575854,0.383424461,1602.373539,Jimmy Garoppolo,6
99,10/20/2019,148.1892859,133.8146385,4.44281196,0.751399488,1612.902425,Jimmy Garoppolo,7
92,10/17/2019,253.5408316,244.1179177,159.3116924,0.635070193,1621.581832,Patrick Mahomes,7
,10/17/2019,253.5408316,244.1179177,159.3116924,0.635070193,1621.581832,Patrick Mahomes,8
116,10/27/2019,133.8146385,134.7182435,142.8506888,0.735571129,1630.829242,Jimmy Garoppolo,8
,10/17/2019,253.5408316,244.1179177,159.3116924,0.635070193,1621.581832,Patrick Mahomes,9
121,10/31/2019,134.7182435,157.1167754,358.7035617,0.753250249,1637.116535,Jimmy Garoppolo,9
147,11/11/2019,157.1167754,136.1913511,-52.13746755,0.679743001,1617.079314,Jimmy Garoppolo,10
136,11/10/2019,244.1179177,263.981019,442.7489305,0.639137545,1603.704578,Patrick Mahomes,10
157,11/17/2019,136.1913511,156.0193892,334.4717319,0.848810688,1623.460675,Jimmy Garoppolo,11
161,11/18/2019,263.981019,256.6284404,190.4552326,0.679486407,1616.287759,Patrick Mahomes,11
174,11/24/2019,156.0193892,158.6426622,182.2521194,0.597898399,1649.982401,Jimmy Garoppolo,12
,11/18/2019,263.981019,256.6284404,190.4552326,0.679486407,1616.287759,Patrick Mahomes,12
188,12/1/2019,256.6284404,246.4267895,154.6119321,0.833904132,1626.499557,Patrick Mahomes,13
184,12/1/2019,158.6426622,158.3429552,155.6455919,0.319799607,1641.614347,Jimmy Garoppolo,13
196,12/8/2019,158.3429552,174.0733988,315.6473912,0.400644807,1655.216124,Jimmy Garoppolo,14
205,12/8/2019,246.4267895,245.0049856,232.2087503,0.367890801,1653.962001,Patrick Mahomes,14
220,12/15/2019,174.0733988,170.1437933,134.7773446,0.831199205,1615.669453,Jimmy Garoppolo,15
211,12/15/2019,245.0049856,248.4006174,278.9613034,0.777859185,1666.270247,Patrick Mahomes,15
238,12/22/2019,248.4006174,258.3977868,348.3723115,0.630061879,1688.835144,Patrick Mahomes,16
226,12/21/2019,170.1437933,149.1757473,-39.53666683,0.66327883,1624.530972,Jimmy Garoppolo,16
243,12/29/2019,258.3977868,245.7354259,131.774178,0.863060045,1694.568993,Patrick Mahomes,17
255,12/29/2019,149.1757473,152.4017673,181.4359468,0.550670729,1640.378272,Jimmy Garoppolo,17
262,1/12/2020,245.7354259,265.006546,438.4466265,0.826137665,1703.995494,Patrick Mahomes,19
260,1/11/2020,152.4017673,141.3126488,41.51058266,0.674369496,1658.178853,Jimmy Garoppolo,19
264,1/19/2020,265.006546,278.6996265,401.9373508,0.693796152,1718.290032,Patrick Mahomes,20
265,1/19/2020,141.3126488,132.6182586,54.3687463,0.63869396,1678.16591,Jimmy Garoppolo,20
266,2/2/2020,278.6996265,,,0.630308519,,Patrick Mahomes,21
266,2/2/2020,132.6182586,,,0.369691481,,Jimmy Garoppolo,21
