State,headOf,lastName,firstName,ageState,ageGov
Afghanistan,state,Ghani,Ashraf,70,59
Afghanistan,government,Abdullah,Abdullah,50,55
Albania,state,Meta,Ilir,,
Albania,government,Rama,Edi,,
Algeria,state,Tebboune,Abdelmadjid,,
Algeria,government,Djerad,Abdelaziz,,
Andorra,state,Vives I Sicilia,Joan-Enric,,
Andorra,government,Espot Zamora,Xavier,,
Andorra,state,Macron,Emmanuel,,
Angola,government,Lourenço,João,,
Angola,state,Lourenço,João,,
Antigua and Barbuda,state,Elizabeth II,,,
Antigua and Barbuda,state,Williams,Rodney,,
Antigua and Barbuda,government,Browne,Gaston,,
Argentina,state,Fernandez,Alberto,,
Argentina,government,Fernandez,Alberto,,
Amernia,state,Sarkissian,Armen,,
Amernia,government,Pashinyan,Nikol,,
Australia,state,Elizabeth II,,,
Australia,state,Hurley,David,,
Australia,government,Morrison,Scott,,
Austria,state,Van der Bellen,Alexander,,
Austria,government,Kurz,Sebastian,,
Azerbaijan,state,Aliyev,Ilham,,
Azerbaijan,government,Asadov,Ali,,
The Bahamas,state,Elizabeth II,,,
The Bahamas,state,Smith,Cornelius,,
The Bahamas,government,Minnis,Hubert,,
Bahrain,state,Al Khalifa,Hamad bin Isa,,
Bahrain,government,Al Khalifa,Khalifa bin Salam,,
Bangladesh,state,Hamid,Abdullah,,
Bangladesh,government,Hasina,Sheikh,,
Barbados,state,Elizabeth II,,,
Barbados,state,Mason,Dame,,
Barbados,government,Mottley,Mia,,
Belarus,state,Lukashenko,Alexander,,
Belarus,government,Rumas,Syarhey,,
Belgium,state,Maria,Filip,,
Belgium,government,Wilmes,Sophie,,
Belize,state,Elizabeth II,,,
Belize,state,Young,Colville,,
Belize,government,Barrow,Dean,,
Benin,state,Talon,Patrice,,
Benin,government,Talon,Patrice,,
Bhutan,state,Wanghcuk,Jigme,,
Bhutan,government,Tshering,Lotay,,
Bolivia,state,Anez,Jeanine,,
Bolivia,government,Anez,Jeanine,,
Bosnia and Herzegovina,state,Inzko,Valentin,,
Bosnia and Herzegovina,state,Komsic,Zeljko,,
Bosnia and Herzegovina,state,Dodik,Milorad,,
Bosnia and Herzegovina,state,Dzaferovic,Sefik,,
Bosnia and Herzegovina,government,Tegeltija,Zoran,,
Botswana,state,Masisi,Mokgweetsi,,
Botswana,government,Masisi,Mokgweetsi,,
Brazil,state,Bolsonaro,Jair,,
Brazil,government,Bolsonaro,Jair,,
Brunei,state,Bolkiah,Hassanal,,
Brunei,government,Bolkiah,Hassanal,,
Bulgaria,state,Radev,Rumen,,
