State,headOf,lastName,firstName,,,
Afghanistan,state,Ghani,Ashraf,,"Ghani, Ashraf","Abdullah, Abdullah"
Afghanistan,government,Abdullah,Abdullah,,"Meta,Ilir","Rama, Edi"
Albania,state,Meta,Ilir,,"Tebboune, Abdelmadjid","Djerad, Abdelaziz"
Albania,government,Rama,Edi,,"Vives I Sicilia, Joan-Enric","Espot Zamora, Xavier"
Algeria,state,Tebboune,Abdelmadjid,,"Williams, Rodney","Browne, Gaston"
Algeria,government,Djerad,Abdelaziz,,,
Andorra,state,Vives I Sicilia,Joan-Enric,,,
Andorra,government,Espot Zamora,Xavier,,,
Andorra,state,Macron,Emmanuel,,,
Angola,government,Lourenço,João,,,
Angola,state,Lourenço,João,,,
Antigua and Barbuda,state,Mary,Elizabeth,,,
Antigua and Barbuda,state,Mason,Dame,,,
Antigua and Barbuda,government,Browne,Gaston,,,
Argentina,state,Fernandez,Alberto,,,
Argentina,government,Fernandez,Alberto,,,
Amernia,state,Sarkissian,Armen,,,
Amernia,government,Pashinyan,Nikol,,,
Australia,state,Mary,Elizabeth,,,
Australia,state,Hurley,David,,,
Australia,government,Morrison,Scott,,,
Austria,state,Van der Bellen,Alexander,,,
Austria,government,Kurz,Sebastian,,,
Azerbaijan,state,Aliyev,Ilham,,,
Azerbaijan,government,Asadov,Ali,,,
The Bahamas,state,Mary,Elizabeth,,,
The Bahamas,state,Smith,Cornelius,,,
The Bahamas,government,Minnis,Hubert,,,
Bahrain,state,Al Khalifa,Hamad,,,
Bahrain,government,Al Khalifa,Khalifa,,,
Bangladesh,state,Hamid,Abdullah,,,
Bangladesh,government,Hasina,Sheikh,,,
Barbados,state,Mary,Elizabeth,,,
Barbados,state,Mason,Dame,,,
Barbados,government,Mottley,Mia,,,
Belarus,state,Lukashenko,Alexander,,,
Belarus,government,Rumas,Syarhey,,,
Belgium,state,Maria,Filip,,,
Belgium,government,Wilmes,Sophie,,,
Belize,state,Mary,Elizabeth,,,
Belize,state,Young,Colville,,,
Belize,government,Barrow,Dean,,,
Benin,state,Talon,Patrice,,,
Benin,government,Talon,Patrice,,,
