City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Total
Adrian,"1,863",9,0,0,1,8,36,5,30,1,2,92
Advance,"1,180",0,0,0,0,0,13,5,8,0,0,26
Alma,355,1,0,0,0,1,0,0,0,0,0,2
Alton,630,0,0,0,0,0,4,1,2,1,0,8
Appleton City,"1,246",5,0,1,0,4,20,7,12,1,0,50
Arbyrd,473,1,0,0,1,0,1,0,1,0,0,4
Archie,"1,036",0,0,0,0,0,23,7,15,1,0,46
Arnold,"20,535",49,0,1,5,43,888,49,819,20,1,"1,875"
Ashland,"2,230",1,0,0,0,1,34,2,31,1,0,70
Aurora,"7,430",61,0,4,3,54,381,83,285,13,1,885
Auxvasse,989,1,0,0,0,1,23,3,20,0,0,48
Ava,"3,180",8,0,0,0,8,103,22,77,4,0,222
Ballwin,"29,774",16,0,1,6,9,321,50,262,9,0,674
Bates City,261,1,0,0,0,1,2,0,1,1,0,6
Battlefield,"4,534",1,0,0,0,1,60,9,49,2,0,122
Bella Villa,626,0,0,0,0,0,9,2,6,1,0,18
Bellefontaine Neighbors,"10,103",71,0,3,16,52,483,183,209,91,2,"1,110"
Bellerive,250,0,0,0,0,0,0,0,0,0,0,0
Bellflower,380,0,0,0,0,0,2,1,1,0,0,4
Bel-Nor,"1,457",2,0,0,0,2,22,4,16,2,0,48
Bel-Ridge,"2,852",51,1,0,11,39,140,71,59,10,2,384
Belton,"24,941",53,0,9,14,30,655,128,486,41,1,"1,417"
Berkeley,"9,245",218,2,8,21,187,483,250,191,42,11,"1,413"
Bernie,"1,740",7,1,0,1,5,15,4,9,2,0,44
Bethany,"3,020",9,0,0,1,8,50,14,33,3,0,118
Beverly Hills,549,0,0,0,0,0,0,0,0,0,0,0
Billings,"1,139",5,0,1,0,4,19,0,17,2,0,48
Birch Tree,613,0,0,0,0,0,3,1,2,0,0,6
Birmingham,233,0,0,0,0,0,3,1,2,0,0,6
Bismarck,"1,541",0,0,0,0,0,9,5,1,3,0,18
Bloomfield,"1,812",7,0,0,0,7,43,11,30,2,1,101
Blue Springs,"56,226",99,0,16,25,58,"1,701",268,"1,272",161,3,"3,603"
Bolivar,"11,308",22,0,0,2,20,355,67,277,11,1,755
Bonne Terre,"7,456",12,3,1,1,7,36,14,17,5,1,97
Boonville,"8,622",8,0,1,0,7,240,24,213,3,0,496
Bowling Green,"5,268",0,0,0,0,0,123,14,108,1,0,246
Branson,"8,621",131,1,7,19,104,"1,062",142,897,23,0,"2,386"
Branson West,514,0,0,0,0,0,26,1,25,0,0,52
Braymer,931,1,0,0,0,1,5,1,4,0,0,12
Breckenridge Hills,"4,413",26,0,0,8,18,206,69,127,10,1,465
Brentwood,"7,086",11,0,1,6,4,320,26,284,10,1,663
Bridgeton,"14,900",60,0,7,12,41,933,78,801,54,5,"1,991"
Brookfield,"4,254",10,0,1,1,8,120,37,81,2,0,260
Brunswick,822,4,0,0,0,4,1,0,1,0,0,10
Bucklin,470,2,0,0,0,2,2,0,2,0,0,8
Buckner,"2,900",10,0,0,1,9,71,24,42,5,0,162
Buffalo,"3,250",13,0,0,2,11,143,35,108,0,3,315
Butler,"4,178",4,2,0,0,2,147,25,118,4,1,303
Butterfield Village,414,1,0,0,0,1,8,3,5,0,0,18
Byrnes Mill,"2,977",0,0,0,0,0,0,0,0,0,0,0
Cabool,"2,118",3,0,0,1,2,41,6,32,3,0,88
California,"4,123",4,0,0,3,1,72,9,58,5,1,153
Calverton Park,"1,255",5,0,0,1,4,21,7,9,5,0,52
Camden Point,562,0,0,0,0,0,2,1,1,0,0,4
Camdenton,"3,659",19,0,0,0,19,153,22,130,1,0,344
Cameron,"8,946",27,2,2,1,22,218,45,168,5,2,492
Campbell,"1,795",3,0,0,1,2,41,8,30,3,0,88
Canton,"2,403",4,0,1,0,3,75,5,70,0,0,158
Cape Girardeau,"37,627",238,1,13,54,170,"2,463",414,"1,985",64,7,"5,409"
Cardwell,701,2,0,1,0,1,4,1,3,0,0,12
Carl Junction,"7,649",8,0,3,0,5,149,38,102,9,0,314
Carrollton,"3,665",5,0,2,1,2,60,11,45,4,1,131
Carterville,"1,994",1,0,1,0,0,10,1,7,2,0,22
Carthage,"14,099",24,1,4,3,16,416,80,320,16,3,883
Caruthersville,"5,912",49,2,2,5,40,293,120,166,7,3,687
Cassville,"3,253",26,0,0,1,25,230,29,197,4,0,512
Centralia,"3,672",9,0,0,0,9,97,17,75,5,0,212
Chaffee,"2,928",3,0,0,0,3,69,28,36,5,0,144
Charlack,"1,329",4,0,0,1,3,47,9,35,3,0,102
Charleston,"5,008",45,2,0,3,40,131,44,84,3,1,353
Chesterfield,"45,709",46,0,2,11,33,996,99,876,21,3,"2,087"
Chillicothe,"8,622",22,0,0,1,21,232,48,175,9,6,514
Clarkton,"1,206",1,0,0,0,1,20,5,13,2,1,43
Claycomo,"1,376",4,0,1,1,2,45,11,33,1,0,98
Clayton,"15,979",13,0,1,2,10,292,41,237,14,1,611
Cleveland,686,0,0,0,0,0,5,4,1,0,0,10
Clever,"1,894",7,0,0,0,7,2,1,1,0,0,18
Clinton,"9,316",50,0,3,6,41,447,128,298,21,2,996
Cole Camp,"1,140",3,0,0,0,3,10,2,8,0,0,26
Columbia,"103,417",530,3,37,131,359,"3,816",552,"3,129",135,7,"8,699"
Concordia,"2,333",3,0,0,0,3,31,7,23,1,0,68
Conway,773,1,0,0,0,1,8,1,6,1,0,18
Cool Valley,990,18,0,0,0,18,78,23,45,10,2,194
Cooter,402,1,0,0,0,1,2,2,0,0,0,6
Corder,404,1,0,0,0,1,0,0,0,0,0,2
Cottleville,"3,359",4,0,0,1,3,49,2,47,0,0,106
Country Club Hills,"1,258",8,0,1,5,2,61,23,31,7,1,139
Country Club Village,"2,437",6,0,1,1,4,15,4,9,2,0,42
Crane,"1,353",8,0,0,1,7,27,11,14,2,1,71
Creighton,357,0,0,0,0,0,0,0,0,0,0,0
Crestwood,"11,289",14,0,0,4,10,347,37,306,4,0,722
Creve Coeur,"16,786",15,2,0,5,8,294,43,239,12,0,618
Crocker,"1,042",5,0,0,0,5,23,3,20,0,0,56
Crystal City,"4,517",19,0,2,1,16,157,20,134,3,1,353
Cuba,"3,563",17,0,0,3,14,181,23,152,6,0,396
Deepwater,486,2,0,0,0,2,7,2,5,0,0,18
Dellwood,"4,837",36,1,0,13,22,152,71,66,15,0,376
Delta,547,0,0,0,0,0,0,0,0,0,0,0
Desloge,"5,213",12,0,1,1,10,260,25,231,4,1,545
De Soto,"6,439",29,0,0,1,28,199,27,160,12,1,457
Des Peres,"8,541",6,0,2,3,1,392,28,361,3,0,796
Dexter,"7,493",12,0,1,1,10,320,70,239,11,1,665
Diamond,896,0,0,0,0,0,0,0,0,0,0,0
Dixon,"1,624",0,0,0,0,0,58,8,48,2,0,116
Doniphan,"1,845",2,0,0,0,2,139,13,122,4,0,282
Doolittle,664,0,0,0,0,0,2,2,0,0,0,4
Drexel,"1,099",4,0,1,0,3,29,5,23,1,0,66
Duenweg,"1,261",1,0,0,0,1,29,5,21,3,1,61
Duquesne,"1,762",7,0,1,0,6,52,13,38,1,0,118
Edgerton,578,1,0,0,0,1,7,4,3,0,1,17
Edina,"1,092",5,0,2,0,3,2,2,0,0,0,14
Edmundson,772,6,0,2,0,4,36,12,18,6,0,84
Eldon,"4,905",24,0,5,2,17,200,36,158,6,0,448
El Dorado Springs,"3,598",30,0,2,2,26,184,42,134,8,3,431
Ellington,935,3,0,0,0,3,9,0,9,0,0,24
Ellisville,"9,162",10,0,0,1,9,138,21,114,3,0,296
Elsberry,"2,694",20,0,1,0,19,19,4,13,2,0,78
Eureka,"9,472",14,0,1,2,11,231,17,206,8,0,490
Everton,297,0,0,0,0,0,1,1,0,0,0,2
Excelsior Springs,"12,674",43,0,5,4,34,357,102,238,17,1,801
Exeter,736,0,0,0,0,0,0,0,0,0,0,0
Fair Grove,"1,433",2,0,0,0,2,16,4,9,3,0,36
Fair Play,458,0,0,0,0,0,1,1,0,0,0,2
Farber,383,0,0,0,0,0,0,0,0,0,0,0
Farmington,"16,461",20,1,2,1,16,547,38,498,11,0,"1,134"
Fayette,"2,647",3,0,0,0,3,13,0,13,0,0,32
Ferguson,"20,657",94,0,4,45,45,"1,121",357,647,117,1,"2,431"
Ferrelview,601,3,0,1,0,2,11,5,6,0,0,28
Festus,"11,457",37,0,2,3,32,243,51,185,7,2,562
Fleming,116,0,0,0,0,0,0,0,0,0,0,0
Flordell Hills,848,8,0,0,3,5,44,12,27,5,0,104
Florissant,"49,886",96,0,2,47,47,"1,350",294,887,169,2,"2,894"
Foley,215,1,0,0,0,1,2,0,2,0,0,6
Fordland,765,1,0,0,0,1,19,4,13,2,0,40
Foristell,374,1,0,0,0,1,36,4,30,2,0,74
Forsyth,"1,703",7,0,2,1,4,86,11,73,2,0,186
Frankford,350,0,0,0,0,0,0,0,0,0,0,0
Fredericktown,"4,152",3,0,0,0,3,78,12,63,3,0,162
Freeman,609,0,0,0,0,0,0,0,0,0,0,0
Frontenac,"3,838",8,0,1,1,6,55,5,50,0,0,126
Fulton,"12,796",41,0,4,1,36,516,71,413,32,1,"1,115"
Gallatin,"1,745",2,0,0,0,2,16,6,7,3,0,36
Garden City,"1,677",2,0,0,1,1,18,3,14,1,0,40
Gerald,"1,255",6,0,1,0,5,33,8,24,1,0,78
Gideon,932,0,0,0,0,0,0,0,0,0,0,0
Glasgow,"1,175",4,0,0,0,4,11,5,6,0,0,30
Glendale,"5,421",2,0,0,0,2,43,7,36,0,0,90
Goodman,"1,281",1,0,0,0,1,14,7,7,0,0,30
Gower,"1,414",0,0,0,0,0,7,1,6,0,1,15
Grain Valley,"11,384",16,0,1,2,13,260,41,185,34,1,553
Granby,"2,224",0,0,0,0,0,7,1,5,1,0,14
Grandview,"24,552",177,0,7,54,116,944,226,616,102,9,"2,251"
Greendale,681,1,0,0,0,1,13,7,6,0,0,28
Greenfield,"1,199",3,0,0,0,3,20,8,11,1,0,46
Greenville,416,3,0,0,0,3,11,1,10,0,0,28
Greenwood,"4,836",3,0,0,1,2,64,6,55,3,0,134
Hallsville,962,1,0,1,0,0,18,5,13,0,0,38
Hamilton,"1,748",4,0,0,0,4,37,9,25,3,0,82
Hannibal,"17,379",50,2,7,16,25,"1,352",210,"1,089",53,3,"2,807"
Hardin,543,0,0,0,0,0,3,0,3,0,0,6
Harrisonville,"9,880",28,0,4,1,23,368,63,288,17,1,793
Hartville,580,2,0,0,0,2,6,2,4,0,0,16
Hawk Point,591,3,0,0,0,3,13,3,10,0,0,32
Hayti,"2,870",6,0,2,1,3,175,36,133,6,1,363
Hazelwood,"25,070",98,1,8,30,59,932,185,678,69,2,"2,062"
Henrietta,427,0,0,0,0,0,1,0,1,0,0,2
Herculaneum,"3,728",3,0,1,1,1,88,4,81,3,0,182
Hermann,"2,671",9,0,1,0,8,77,13,63,1,1,173
Higginsville,"4,448",5,0,2,0,3,111,13,93,5,0,232
High Hill,207,0,0,0,0,0,2,1,1,0,0,4
Highlandville,973,1,0,0,0,1,3,0,3,0,0,8
Hillsboro,"2,579",15,0,1,0,14,99,12,82,5,0,228
Hillsdale,"1,392",25,1,2,4,18,46,29,14,3,1,143
Holcomb,657,0,0,0,0,0,0,0,0,0,0,0
Holden,"2,556",14,0,0,1,13,100,9,85,6,1,229
Hollister,"4,041",22,0,2,1,19,128,29,90,9,3,303
Holt,482,1,0,0,0,1,4,2,1,1,0,10
Holts Summit,"3,882",14,0,1,1,12,76,31,42,3,0,180
Hornersville,639,2,0,0,0,2,1,0,1,0,0,6
Houston,"2,015",7,0,0,0,7,74,13,58,3,0,162
Howardville,307,0,0,0,0,0,1,1,0,0,1,3
Humansville,"1,021",0,0,0,0,0,12,6,5,1,0,24
Huntsville,"1,620",0,0,0,0,0,12,1,10,1,0,24
Hurley,147,0,0,0,0,0,0,0,0,0,0,0
Iberia,657,2,0,0,0,2,3,2,0,1,0,10
Independence2,"121,141",484,8,43,123,310,"7,223","1,246","5,242",735,22,"15,436"
Indian Point,728,2,0,0,0,2,5,2,3,0,0,14
Ironton,"1,297",2,0,0,0,2,35,10,25,0,0,74
Jackson,"14,043",17,0,2,1,14,358,50,298,10,0,750
Jasper,"1,077",0,0,0,0,0,12,6,3,3,0,24
Jefferson City,"41,092",197,1,6,40,150,"1,668",284,"1,348",36,19,"3,749"
Jennings,"14,423",243,3,5,40,195,"1,170",491,529,150,11,"2,837"
Joplin,"50,346",288,1,39,64,184,"3,404",558,"2,612",234,29,"7,413"
Kahoka,"2,143",9,0,1,0,8,16,7,8,1,0,50
Kansas City2,"483,191","5,506",102,234,"1,626","3,544","26,919","7,124","16,625","3,170",343,"65,193"
Kearney,"9,442",3,0,0,0,3,144,17,126,1,0,294
Kennett,"10,409",56,0,3,7,46,550,157,369,24,4,"1,216"
Kimberling City,"2,408",3,0,1,0,2,34,11,22,1,0,74
Kimmswick,109,0,0,0,0,0,0,0,0,0,0,0
King City,860,2,0,0,0,2,3,2,1,0,0,10
Kinloch,420,11,1,1,3,6,11,6,5,0,7,51
Kirksville,"17,406",90,0,0,2,88,527,76,441,10,0,"1,234"
Kirkwood,"26,573",29,0,4,5,20,854,135,685,34,2,"1,768"
Knob Noster,"3,359",4,0,0,0,4,86,15,71,0,0,180
Ladue,"8,111",8,0,0,2,6,116,21,94,1,2,250
Lake Lafayette,366,1,0,0,0,1,4,1,2,1,0,10
Lake Lotawana,"2,191",0,0,0,0,0,30,9,18,3,0,60
Lake Ozark,"2,048",1,0,1,0,0,10,6,4,0,0,22
Lakeshire,"1,266",0,0,0,0,0,33,16,17,0,0,66
Lake St. Louis,"14,734",26,0,1,1,24,223,19,200,4,1,499
Lake Tapawingo,802,0,0,0,0,0,16,2,14,0,0,32
Lake Waukomis,926,0,0,0,0,0,8,1,7,0,0,16
Lake Winnebago,"1,167",2,0,0,0,2,8,2,6,0,0,20
Lamar,"4,385",10,0,1,2,7,91,22,68,1,1,203
La Monte,"1,102",2,0,0,0,2,20,10,10,0,0,44
Lanagan,434,0,0,0,0,0,0,0,0,0,0,0
La Plata,"1,434",3,0,0,0,3,2,0,1,1,0,10
Lathrop,"2,319",4,0,0,0,4,54,19,31,4,0,116
Laurie,707,2,0,0,0,2,44,10,34,0,0,92
Lawson,"2,316",2,1,0,0,1,63,20,42,1,0,130
Leadington,422,0,0,0,0,0,11,1,6,4,0,22
Leadwood,"1,159",11,0,0,0,11,23,8,13,2,0,68
Lebanon,"14,403",51,2,5,3,41,704,109,567,28,4,"1,514"
Lee's Summit,"87,707",97,2,17,26,52,"2,129",289,"1,718",122,5,"4,457"
Leeton,629,1,0,0,0,1,15,3,12,0,0,32
Lexington,"4,424",13,0,1,0,12,183,34,141,8,1,393
Liberal,759,2,0,0,0,2,13,9,4,0,0,30
Liberty,"32,496",41,2,9,9,21,567,102,420,45,9,"1,225"
Licking,"2,957",2,0,1,0,1,55,5,49,1,1,115
Lincoln,"1,082",2,0,0,0,2,26,7,17,2,0,56
Linn Creek,310,2,0,0,0,2,7,3,3,1,0,18
Lockwood,887,0,0,0,0,0,8,3,4,1,0,16
Lone Jack,"1,002",1,1,0,0,0,19,5,14,0,0,40
Lowry City,717,2,0,0,0,2,2,0,2,0,0,8
Macon,"5,349",12,0,2,3,7,150,34,109,7,0,324
Malden,"4,347",3,0,0,0,3,44,20,19,5,1,95
Manchester,"18,396",2,0,0,1,1,349,23,323,3,1,703
Mansfield,"1,303",2,0,0,0,2,50,10,40,0,0,104
Maplewood,"8,510",35,1,1,9,24,397,40,340,17,0,864
Marble Hill,"1,441",12,0,1,3,8,34,12,19,3,0,92
Marceline,"2,270",3,0,0,0,3,41,6,27,8,1,89
Marionville,"2,157",3,0,0,0,3,77,7,68,2,0,160
Marshall,"12,127",26,0,2,1,23,305,67,232,6,0,662
Marshfield,"7,368",2,0,1,0,1,137,21,110,6,0,278
Marthasville,857,1,0,1,0,0,0,0,0,0,0,2
Martinsburg,318,0,0,0,0,0,0,0,0,0,0,0
Maryland Heights,"25,591",41,0,2,13,26,679,95,561,23,3,"1,443"
Maryville,"10,782",28,0,0,1,27,182,23,145,14,0,420
Matthews,520,1,0,0,0,1,13,1,12,0,0,28
Maysville,"1,120",0,0,0,0,0,0,0,0,0,0,0
Memphis,"1,934",3,0,1,0,2,27,2,24,1,0,60
Mexico,"10,736",34,0,5,3,26,210,40,161,9,1,489
Milan,"1,799",6,0,0,0,6,17,4,11,2,0,46
Miner,"1,335",14,0,0,1,13,30,9,19,2,0,88
Moberly,"14,011",27,0,2,4,21,588,84,492,12,2,"1,232"
Moline Acres,"2,487",29,0,1,8,20,110,32,73,5,2,280
Monett,"8,884",8,0,2,2,4,310,65,224,21,2,638
Monroe City,"2,413",28,0,0,0,28,41,7,30,4,0,138
Montgomery City,"2,427",2,0,1,0,1,47,18,28,1,0,98
Morehouse,900,4,0,0,0,4,6,1,5,0,0,20
