albumTitle,releaseDate,postpone1,postpone2,postpone3,postpone4,actualRelease,recordingStart,recordingFinish,metacritic,pitchfork,firstWeekSales,totalSales,numberOfPost
The College Dropout,Aug-03,1-Oct,4-Jan,,,2/10/2004,1999,1-Dec,87.00,8.20,441000,3358000,2
Late Registration,12-Jul-05,8/16/2005,8/30/2005,,,8/30/2005,2003,8/30/2005,85.00,9.50,860000,3100000,2
Graduation,10/1/2006,08/18/20017,Aug-07,9/11/2007,,9/11/2007,8/1/2005,9/1/2007,79.00,8.70,957000,2700000,3
808s & Heartbreak,11/25/2008,,,,,11/24/2008,9/1/2008,11/1/2008,75.00,7.60,450145,1700000,0
My Beautiful Dark Twisted Fantasy,11/22/2010,,,,,11/22/2010,2009,2010,94.00,10.00,496000,1300000,0
Watch The Throne,8/1/2011,8/8/2011,,,,8/8/2011,11/1/2010,6/1/2011,76.00,8.50,436000,2000000,1
Yeezus,6/18/2013,,,,,6/18/2013,6/1/2012,6/1/2013,84.00,9.50,327000,750000,0
The Life of Pablo,2/11/2016,2/12/2016,2/14/2016,4/10/2016,,4/10/2016,11/1/2013,2/1/2016,75.00,9.00,94000,339000,3
Ye,6/1/2018,,,,,6/1/2018,2/24/2016,5/31/2018,64.00,7.10,208000,611000,0
Jesus Is King,9/28/2018,11/23/2018,9/27/2019,9/28/2019,9/29/2019,,,,,,,,
