Year,Image,Laureate[A],Country[B],Rationale[C],Ref
1901,,Jacobus Henricus van 't Hoff,Netherlands,"""[for his] discovery of the laws of chemical dynamics and osmotic pressure in solutions""",[18]
1902,,Hermann Emil Fischer,Germany,"""[for] his work on sugar and purine syntheses""",[19]
1903,,Svante August Arrhenius,Sweden,"""[for] his electrolytic theory of dissociation""",[20]
1904,,Sir William Ramsay,United Kingdom,"""[for his] discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",[21]
1905,,Johann Friedrich Wilhelm Adolf von Baeyer,Germany,"""[for] the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",[22]
1906,,Henri Moissan,France,"""[for his] investigation and isolation of the element fluorine, and for [the] electric furnace called after him""",[23]
1907,,Eduard Buchner,Germany,"""for his biochemical researches and his discovery of cell-free fermentation""",[24]
1908,,Ernest Rutherford,United Kingdom New Zealand,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",[25]
1909,,Wilhelm Ostwald,Germany,"""[for] his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",[26]
1910,,Otto Wallach,Germany,"""[for] his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",[27]
1911,,Maria Skłodowska-Curie,Poland France,"""[for] the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",[28]
1912,,Victor Grignard,France,"""for the discovery of the [...] Grignard reagent""",[29]
1912,,Paul Sabatier,France,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals""",[29]
1913,,Alfred Werner,Switzerland,"""[for] his work on the linkage of atoms in molecules [...] especially in inorganic chemistry""",[30]
1914,,Theodore William Richards,United States,"""[for] his accurate determinations of the atomic weight of a large number of chemical elements""",[9]
1915,,Richard Martin Willstätter,Germany,"""for his researches on plant pigments, especially chlorophyll""",[31]
1916,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
1917,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
1918,,Fritz Haber,Germany,"""for the synthesis of ammonia from its elements""",[10]
1919,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
1920,,Walther Hermann Nernst,Germany,"""[for] his work in thermochemistry""",[11]
