,0,1,2,3,4,5
0,1901,Sully Prudhomme, France,French,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""[13]","poetry, essay"
1,1902,Theodor Mommsen, Germany,German,"""the greatest living master of the art of historical writing, with special reference to his monumental work, A History of Rome""[14]","history, law"
2,1903,Bjørnstjerne Bjørnson, Norway,Norwegian,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""[15]","poetry, novel, drama"
3,1904,Frédéric Mistral, France,Provençal,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist""[16]","poetry, philology"
4,1904,José Echegaray, Spain,Spanish,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""[16]",drama
5,1905,Henryk Sienkiewicz, Poland,Polish,"""because of his outstanding merits as an epic writer""[17]",novel
6,1906,Giosuè Carducci, Italy,Italian,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""[18]",poetry
7,1907,Rudyard Kipling, United Kingdom,English,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration that characterize the creations of this world-famous author""[19]","novel, short story, poetry"
8,1908,Rudolf Christoph Eucken, Germany,German,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""[20]",philosophy
9,1909,Selma Lagerlöf, Sweden,Swedish,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""[21]","novel, short story"
10,1910,Paul von Heyse, Germany,German,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""[22]","poetry, drama, novel, short story"
11,1911,Maurice Maeterlinck, Belgium,French,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""[23]","drama, poetry, essay"
12,1912,Gerhart Hauptmann, Germany,German,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""[24]","drama, novel"
13,1913,Rabindranath Tagore, India,Bengali and English,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""[25]","poetry, novel, drama, short story, music, essay, philosophy, literary criticism, translation"
14,1914,,,,,
15,1915,Romain Rolland, France,French,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""[26]",novel
16,1916,Verner von Heidenstam, Sweden,Swedish,"""in recognition of his significance as the leading representative of a new era in our literature""[27]","poetry, novel"
